DGS004
null 0 0
an 358388474 lat:46.7784129 lon:23.5782777
an 358388305 lat:46.7787595 lon:23.5817026
an 353355522 lat:46.7775309 lon:23.5753443
an 353355521 lat:46.7775368 lon:23.5740911
an 1594589303 lat:46.7798200 lon:23.5821504
an 985891744 lat:46.7781003 lon:23.5728200
an 3287977840 lat:46.7774373 lon:23.5728470
an 354671008 lat:46.7798232 lon:23.5822148
an 985891728 lat:46.7759743 lon:23.5737874
an 2806649330 lat:46.7798145 lon:23.5822514
an 354661306 lat:46.7803954 lon:23.5765730
an 2009760911 lat:46.7796939 lon:23.5820789
an 322100783 lat:46.7797988 lon:23.5822826
an 353357692 lat:46.7792513 lon:23.5797542
an 985891738 lat:46.7772574 lon:23.5728476
an 353357695 lat:46.7802336 lon:23.5798726
an 353355839 lat:46.7789080 lon:23.5738450
an 353353994 lat:46.7770959 lon:23.5756722
an 353352574 lat:46.7765115 lon:23.5802425
an 353357018 lat:46.7776360 lon:23.5767813
an 353355837 lat:46.7788457 lon:23.5737539
an 353357586 lat:46.7802054 lon:23.5801680
an 358388281 lat:46.7780489 lon:23.5818218
an 353357585 lat:46.7799489 lon:23.5818780
an 2817351297 lat:46.7796768 lon:23.5765395
an 322100830 lat:46.7796679 lon:23.5821108
an 353354095 lat:46.7768254 lon:23.5756390
an 353356495 lat:46.7775486 lon:23.5728466
an 353353454 lat:46.7771439 lon:23.5819231
an 1594589304 lat:46.7797535 lon:23.5823179
an 358388223 lat:46.7772572 lon:23.5819587
an 353358792 lat:46.7803610 lon:23.5748040
an 985891749 lat:46.7783900 lon:23.5728049
an 358388388 lat:46.7790084 lon:23.5793307
an 353356882 lat:46.7777056 lon:23.5769875
an 353357589 lat:46.7803707 lon:23.5777388
an 354661696 lat:46.7794938 lon:23.5748739
an 353352943 lat:46.7796582 lon:23.5822508
ae 0 353356495 353355521 weight:94.88384394829224
ae 1 353355521 353355522 weight:95.54027078664518
ae 2 353355522 353357018 weight:110.17292878807244
ae 3 353355839 353355521 weight:153.78994375982904
ae 4 358388281 358388474 weight:273.2034484449822
ae 5 353355839 354661696 weight:102.0033235764242
ae 6 354661696 2817351297 weight:128.59640655723965
ae 7 2806649330 354671008 weight:2.9533987684368
ae 8 354671008 1594589303 weight:4.922248203137005
ae 9 1594589303 2009760911 weight:15.058460881480807
ae 10 2009760911 322100830 weight:3.7803041028914732
ae 11 322100830 353352943 weight:10.726998372837791
ae 12 353352943 1594589304 weight:11.777545471195253
ae 13 1594589304 322100783 weight:5.715854956564399
ae 14 322100783 2806649330 weight:2.951522485932008
ae 15 354661696 353355522 weight:221.43207642675705
ae 16 353357692 353357695 weight:109.72101015181163
ae 17 354661306 2817351297 weight:80.03493929791244
ae 18 2817351297 353357018 weight:227.92742272423837
ae 19 1594589303 353357585 weight:25.240944397690658
ae 20 358388305 358388388 weight:182.92839229906727
ae 21 353353454 358388223 weight:12.901196230334628
ae 22 358388223 358388281 weight:88.7474415011747
ae 23 358388281 358388305 weight:79.62386322312935
ae 24 358388305 322100830 weight:105.80232193886756
ae 25 353354095 353353994 weight:30.218107343283304
ae 26 358388223 353356882 weight:382.2541020550451
ae 27 2009760911 353357692 weight:183.93924820256208
ae 28 353357692 358388388 weight:42.11216876092767
ae 29 358388388 358388474 weight:104.10750897706288
ae 30 358388474 353356882 weight:125.99067280868677
ae 31 353356882 353357018 weight:17.525322840667158
ae 32 353357585 353357586 weight:133.44668140766916
ae 33 353357586 353357695 weight:22.736525697657182
ae 34 353357695 353357589 weight:163.3768196368718
ae 35 353357589 354661306 weight:88.9128748826224
ae 36 354661306 353358792 weight:134.9073906460522
ae 37 353355839 353355837 weight:9.814688466829605
ae 38 985891728 985891738 weight:159.7963411847423
ae 39 985891738 985891744 weight:93.85478703345824
ae 40 985891744 985891749 weight:32.269794858520974
ae 41 985891749 985891728 weight:279.1509588364986
ae 43 353352574 353353454 weight:146.1894377575435
ae 44 353357018 353353994 weight:103.7498256800628
ae 45 353353994 985891728 weight:190.35774102661682
ae 46 353356495 985891744 weight:61.448432453508495
ae 48 985891749 353355837 weight:88.35877743063811
ae 49 985891738 3287977840 weight:20.02642863133202
ae 50 3287977840 353356495 weight:12.389896851590041
ae 55 353356495 985891738 weight:32.41632536280966
ae 56 985891738 353352574 weight:569.8408021100976
ae 57 353352574 353354095 weight:352.6898948215264
